1, Touch, 1376.9312, 284.00757
8450, Touch, 1343.9374, 368.02002
11967, Touch, 1253.8989, 513.0066
12106, Fight, 10
18035, Touch, 1778.8861, 792.0044
21452, Touch, 2005.9131, 995.98755
21908, Drop, 1
21909, Drop, 2
22142, Drop, 3
22891, Fight, 20
25175, Touch, 1195.9058, 796.9812
25672, Touch, 1179.917, 754.99146
25743, Drop, 4
27866, Touch, 577.9669, 434.0039
31104, Touch, 1061.966, 309.02344
34875, Touch, 1176.936, 604.9951
35343, Touch, 1161.9635, 589.01
35397, Fight, 30
42663, Touch, 1119.9591, 275.99854
43090, Drop, 5
43169, Touch, 1109.9323, 327.01904
43673, Touch, 1100.9216, 377.01782
44188, Touch, 1090.9625, 428.99414
47233, Touch, 767.9352, 274.021
47277, Fight, 40
47731, Touch, 840.9686, 325.9973
47930, Fight, 50
48224, Touch, 911.9696, 375.9961
51178, Touch, 417.94373, 861.9763
51677, Touch, 570.921, 777.9968
55180, Touch, 373.9746, 639.99756
55700, Touch, 473.97217, 619.0027
57137, Fight, 60
61849, Touch, 878.9081, 439.01367
62351, Touch, 907.90466, 446.98975
68015, Touch, 1657.8864, 451.9995
75817, Touch, 1287.9089, 510.9961
76322, Touch, 1256.9476, 507.99683
76820, Touch, 1227.951, 505.98633
81983, Touch, 917.9315, 610.99365
82337, Drop, 6
88350, Touch, 822.9474, 681.9873
88791, Drop, 7
88850, Touch, 882.973, 639.99756
94688, Touch, 1768.927, 601.99585
95114, Touch, 1670.8942, 586.9995
102433, Touch, 1524.895, 484.99146
102950, Touch, 1461.8884, 487.00195
103439, Touch, 1397.9333, 489.01245
103641, Drop, 8
105914, Touch, 1098.9569, 552.98584
110193, Touch, 1716.8958, 534.99023
110694, Touch, 1626.925, 531.0022
111196, Touch, 1534.9219, 524.0149
115750, Touch, 1248.9532, 546.9873
115895, Fight, 70
116263, Touch, 1224.9023, 540.0
116762, Touch, 1200.9192, 531.99097
117318, Touch, 1174.9036, 525.99243
123115, Touch, 990.96497, 725.98755
123703, Touch, 1003.905, 693.9844
124081, Drop, 9
124328, Touch, 1016.91284, 660.99243
127694, Touch, 1106.9513, 666.0022
128194, Touch, 1101.9379, 642.00806
128708, Touch, 1098.9569, 618.0139
129278, Touch, 1093.9435, 593.9868
131916, Touch, 1216.908, 324.01978
132415, Touch, 1195.9058, 348.01392
132916, Touch, 1176.936, 374.01855
133044, Fight, 80
135561, Touch, 1159.931, 814.9768
138664, Touch, 1122.9401, 616.0034
139165, Touch, 1116.9104, 599.98535
139346, Fight, 90
145740, Touch, 633.9276, 90.01099
146918, Fight, 100
154834, Touch, 1172.9388, 272.0105
155231, Touch, 1156.9501, 309.02344
161072, Touch, 1184.9304, 498.01025
161203, Fight, 110
585393, Touch, 2188.9033, 80.024414
