250393, Drop, 26
250395, Drop, 27
250731, Touch, 1190.9601, 569.0039
251255, Touch, 1167.9254, 554.00757
257184, Touch, 583.92883, 481.9922
257711, Touch, 654.9298, 486.01318
258821, Drop, 28
261226, Touch, 1220.9052, 98.02002
261750, Touch, 1188.9276, 192.01904
261966, Drop, 29
265902, Touch, 761.97327, 540.0
266155, Drop, 30
266425, Touch, 807.97485, 534.99023
266800, Fight, 420
270099, Touch, 887.9187, 22.016602
270358, Drop, 31
270632, Touch, 932.90405, 133.02246
270949, Drop, 32
274804, Touch, 652.9651, 795.99243
275327, Touch, 714.95544, 754.0027
275852, Touch, 776.9458, 710.9912
276093, Fight, 430
276376, Touch, 835.9552, 669.00146
279313, Touch, 1235.9454, 560.0061
279565, Fight, 440
283022, Touch, 390.9796, 258.00293
284254, Drop, 33
286633, Touch, 702.96387, 354.01245
286915, Fight, 450
287651, Drop, 34
290122, Touch, 1126.9373, 163.01514
290619, Drop, 35
290646, Touch, 1119.9591, 211.00342
291215, Fight, 460
297930, Touch, 1746.9086, 543.98804
298450, Touch, 1593.9313, 534.99023
298972, Touch, 1440.954, 525.00366
299454, Drop, 36
299497, Touch, 1286.9604, 513.99536
303344, Touch, 1410.9412, 643.9856
303869, Touch, 1364.9396, 622.9907
304060, Fight, 470
304394, Touch, 1316.9055, 604.00635
304919, Touch, 1269.9554, 583.0115
304986, Fight, 480
308529, Touch, 1697.926, 689.99634
308577, Fight, 490
308797, Fight, 500
309053, Touch, 1609.92, 661.9812
309579, Touch, 1521.9141, 636.0095
310982, Drop, 37
310982, Fight, 510
313435, Touch, 774.9133, 586.01074
313852, Fight, 520
314499, Drop, 38
316687, Touch, 522.9547, 472.9944
317346, Fight, 530
320060, Touch, 1591.8988, 86.02295
321156, Fight, 540
324610, Touch, 1047.9419, 663.9917
324615, Fight, 550
328156, Touch, 1679.9048, 422.00684
329406, Fight, 560
331696, Touch, 788.9374, 642.9968
332219, Touch, 830.9418, 622.9907
332742, Touch, 872.94617, 601.99585
332816, Drop, 39
333165, Drop, 40
335857, Touch, 1686.8829, 684.9866
336380, Touch, 1600.9094, 657.99316
336904, Touch, 1514.9359, 631.9885
340398, Touch, 1190.9601, 569.0039
340921, Touch, 1174.9036, 560.0061
341002, Fight, 570
341445, Touch, 1160.9473, 548.9978
341969, Touch, 1144.9585, 540.0
345218, Touch, 638.94104, 792.0044
345741, Touch, 702.96387, 751.9922
346997, Drop, 41
348684, Touch, 976.9409, 666.99097
348836, Fight, 580
351853, Touch, 1965.8734, 892.9907
352375, Touch, 1762.8973, 802.97974
352372, Drop, 42
352901, Touch, 1558.905, 710.9912
353644, Fight, 590
356192, Touch, 1186.9629, 649.98413
356436, Fight, 600
362776, Touch, 1107.8998, 239.01855
363299, Touch, 1103.9026, 275.99854
363642, Drop, 43
363823, Touch, 1100.9216, 315.02197
370643, Touch, 938.9337, 340.99365
370841, Drop, 44
376772, Touch, 1200.9192, 89.02222
377310, Drop, 45
383182, Touch, 515.97656, 521.0156
383706, Touch, 596.93665, 519.0051
385462, Drop, 46
